id,date,name,status,type
67c8ce27-a41c-4019-963a-0fc57964c7fb,2023-01-01,Día de Año Nuevo,Popular,Internacional
f7397553-ebfe-4dbe-8864-9947edad3efe,2023-01-01,Día Internacional del Hijo,No Oficial,Internacional
ac77a0b4-6886-4d33-9a9c-22943c114379,2023-01-01,Día del Dominio Público,No Oficial,Internacional
4db591b6-e396-40b2-a249-397768e533ea,2023-01-02,Día Internacional del Policía,No Oficial,Internacional
b6be3a76-5f7a-493c-9ad7-a9a7b40949fc,2023-01-02,Día Mundial del Introvertido,Alternativo,Alternativo
62b38e87-e1a1-4266-94bf-e50921c3dcdc,2023-01-03,Día de las Cerezas cubiertas de chocolate,Alternativo,Alternativo
a294b970-5045-4a8f-900e-5e38c2b3085c,2023-01-04,Día Mundial del Braille,Oficial,Internacional
2a0b27d5-3c80-4afa-8c84-b4d8f5c0cec9,2023-01-04,Día Mundial de la Hipnosis,No Oficial,Internacional
394e8b7d-2d2c-481b-a228-efc32949a267,2023-01-05,Día de la Crema Batida o Nata Montada,Alternativo,Alternativo
64087e70-1c52-4cbf-ad12-579d1675cc98,2023-01-06,Día de Reyes,Popular,Internacional
fcc37a8e-3197-402c-8b14-6f9c7b8a1940,2023-01-06,Día Mundial de los Huérfanos de la Guerra,No Oficial,Internacional
4e434ab2-1d6d-4fb8-b283-05829cdd4f24,2023-01-06,Día Mundial de la Astrología,Alternativo,Alternativo
b751e6a7-a0c8-48a7-9ae5-d7fb5fd3fb58,2023-01-07,Día del Sello Postal,No Oficial,Internacional
d45165ba-b617-48c7-b1f7-5ad6d62edd05,2023-01-07,Navidad Ortodoxa,Religioso,Religioso
42f97b93-84ee-48e8-b3b9-af9b6e63d8c0,2023-01-09,Día Mundial de la Electricidad Estática,Alternativo,Alternativo
a7b636bf-025a-4204-a309-82fac0ac284e,2023-01-09,Día del Ascenso en Globo (Estados Unidos),Nacional,Nacional
bb8681b7-a1a0-4da4-bebf-6fc51bb1ffd1,2023-01-10,Día Mundial de la Gente Peculiar,Popular,Alternativo
f8d207f6-d8af-492f-9911-e0a54db609f3,2023-01-11,Día Internacional del Agradecimiento,No Oficial,Internacional
3488fa0a-ef9c-49cb-8945-f6f7040568a1,2023-01-11,Día de Planificar tus vacaciones,Alternativo,Alternativo
66828200-e632-4e3b-99b3-ec7212b8b908,2023-01-12,Día Internacional de Besar a un Pelirrojo,Alternativo,Alternativo
4b701e67-8533-4d7d-966d-dd0d05ccc7d7,2023-01-13,Día Mundial de Lucha contra la Depresión,No Oficial,Internacional
0fb82174-6b1b-43a8-aae5-7d32fb3e1a8d,2023-01-13,Día Mundial del Chicle,Alternativo,Alternativo
993c7352-db71-4f6c-b1f4-584855efb492,2023-01-13,Día del Sticker,Alternativo,Alternativo
c5ffeb78-582b-4206-bf9e-b9b3c28b0a42,2023-01-14,Día Mundial de la Lógica,Oficial,Internacional
0123984d-898b-4544-8fed-004b6ac42bce,2023-01-14,Día Internacional de la Cometa,No Oficial,Internacional
aeb238f9-5cf9-4db5-b8b8-7736f8260c17,2023-01-14,Día Mundial de Vestir a tu Mascota,Alternativo,Alternativo
56577752-58e0-423a-a5da-bf2692f3e130,2023-01-14,Año Nuevo Ortodoxo,Religioso,Religioso
fafe8415-b310-499a-80cb-9cfdf77354e4,2023-01-15,Día Mundial de la Nieve,No Oficial,Internacional
0bec73e9-c911-4daa-a5c8-ff63c9bc849e,2023-01-15,Día Mundial de la Religión,No Oficial,Internacional
9196d873-403f-41e2-86ec-227349ff86bf,2023-01-15,Día Nacional del Sombrero (Estados Unidos),Nacional,Nacional
3cd0b2b1-e380-464d-8409-6440c46c08d4,2023-01-16,Blue Monday (Día más triste del año),No Oficial,Internacional
26564366-92c7-4b21-a9de-ede5c520a9ed,2023-01-16,Día Internacional de The Beatles,No Oficial,Internacional
